date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:32:06	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f777b31-239b%22	https://letswritetw.github.io/robots.txt		(from )
16:32:06	2625/2625	---M-Z	200	added ('OK')	text/html	etag:W/%225f375d7c-a41%22	https://letswritetw.github.io/letswrite-taiwan-map-basic/	C:/My%20Web%20Sites/D3_js(Taiwan%20Map%20Great!)/letswritetw.github.io/letswrite-taiwan-map-basic/index.html	(from )
16:32:07	33274/33274	---M--	200	added ('OK')	image/png	etag:%22602d05a1-81fa%22	https://letswritetw.github.io/letswritetw/dist/img/logo_512.png	C:/My%20Web%20Sites/D3_js(Taiwan%20Map%20Great!)/letswritetw.github.io/letswritetw/dist/img/logo_512.png	(from https://letswritetw.github.io/letswrite-taiwan-map-basic/)
16:32:07	185006/185006	---M--	200	added ('OK')	image/png	etag:%225f375d7c-2d2ae%22	https://letswritetw.github.io/letswrite-taiwan-map-basic/fb.png	C:/My%20Web%20Sites/D3_js(Taiwan%20Map%20Great!)/letswritetw.github.io/letswrite-taiwan-map-basic/fb.png	(from https://letswritetw.github.io/letswrite-taiwan-map-basic/)
16:32:07	773/773	---M-Z	200	added ('OK')	text/css	etag:%225eb03f23-305%22	https://cdnjs.cloudflare.com/ajax/libs/meyer-reset/2.0/reset.min.css	C:/My%20Web%20Sites/D3_js(Taiwan%20Map%20Great!)/cdnjs.cloudflare.com/ajax/libs/meyer-reset/2.0/reset.min.css	(from https://letswritetw.github.io/letswrite-taiwan-map-basic/)
16:32:07	2528/2528	---M-Z	200	added ('OK')	text/css	etag:W/%225f375d7c-9e0%22	https://letswritetw.github.io/letswrite-taiwan-map-basic/dist/augurio-taiwan.min.css	C:/My%20Web%20Sites/D3_js(Taiwan%20Map%20Great!)/letswritetw.github.io/letswrite-taiwan-map-basic/dist/augurio-taiwan.min.css	(from https://letswritetw.github.io/letswrite-taiwan-map-basic/)
16:32:07	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2026%20Feb%202021%2008:32:07%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/D3_js(Taiwan%20Map%20Great!)/www.googletagmanager.com/gtm.45445.delayed	(from https://letswritetw.github.io/letswrite-taiwan-map-basic/)
16:32:09	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20Feb%202021%2008:32:09%20GMT	http://d3js.org/d3.v3.min.js	C:/My%20Web%20Sites/D3_js(Taiwan%20Map%20Great!)/d3js.org/d3.v3.min.7.delayed	(from https://letswritetw.github.io/letswrite-taiwan-map-basic/)
16:32:09	99342/99342	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03d6b-1840e%22	http://cdnjs.cloudflare.com/ajax/libs/babel-polyfill/7.6.0/polyfill.min.js	C:/My%20Web%20Sites/D3_js(Taiwan%20Map%20Great!)/cdnjs.cloudflare.com/ajax/libs/babel-polyfill/7.6.0/polyfill.min.js	(from https://letswritetw.github.io/letswrite-taiwan-map-basic/)
16:32:09	341462/341462	---M-Z	200	added ('OK')	application/javascript	etag:%225eb0402c-535d6%22	https://cdnjs.cloudflare.com/ajax/libs/vue/2.6.10/vue.js	C:/My%20Web%20Sites/D3_js(Taiwan%20Map%20Great!)/cdnjs.cloudflare.com/ajax/libs/vue/2.6.10/vue.js	(from https://letswritetw.github.io/letswrite-taiwan-map-basic/)
16:32:09	151725/151725	---MCZ	200	added ('OK')	application/javascript	etag:W/%22600e10a6-250ad%22	https://d3js.org/d3.v3.min.js	C:/My%20Web%20Sites/D3_js(Taiwan%20Map%20Great!)/d3js.org/d3.v3.min.js	(from https://letswritetw.github.io/letswrite-taiwan-map-basic/)
16:32:10	1727/1727	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f375d7c-6bf%22	https://letswritetw.github.io/letswrite-taiwan-map-basic/dist/augurio-taiwan.min.js	C:/My%20Web%20Sites/D3_js(Taiwan%20Map%20Great!)/letswritetw.github.io/letswrite-taiwan-map-basic/dist/augurio-taiwan.min.js	(from https://letswritetw.github.io/letswrite-taiwan-map-basic/)
